Sampling Rate : 128HZ,Duration : 10 Minutes
Time,PPG
3.53125,-55071.83594
3.5390625,-55018.29297
3.546875,-54967.79297
3.5546875,-54951.73438
3.5625,-54973.84375
3.5703125,-55020.16016
3.578125,-55075.19531
3.5859375,-55127.14063
3.59375,-55169.91016
3.6015625,-55199.49219
3.609375,-55209.27344
3.6171875,-55192.42969
3.625,-55142.02344
3.6328125,-55055.57813
3.640625,-54938.23047
3.6484375,-54802.26953
3.65625,-54668.41406
3.6640625,-54559.76172
3.671875,-54495.75391
3.6796875,-54485.19141
3.6875,-54520.29688
3.6953125,-54579.76172
3.703125,-54635.92969
3.7109375,-54666.56641
3.71875,-54663.73047
3.7265625,-54634.78516
3.734375,-54597.09375
3.7421875,-54567.77734
3.75,-54555.69531
3.7578125,-54559.47656
3.765625,-54570.28125
3.7734375,-54578.84766
3.78125,-54580.61719
3.7890625,-54577.09375
3.796875,-54574.67578
3.8046875,-54578.96484
3.8125,-54592.20703
3.8203125,-54611.46484
3.828125,-54629.64063
3.8359375,-54641.33203
3.84375,-54643.74609
3.8515625,-54639.34766
3.859375,-54633.30078
3.8671875,-54628.78906
3.875,-54627.45313
3.8828125,-54627.78906
3.890625,-54629.94531
3.8984375,-54637.98828
3.90625,-54656.76563
3.9140625,-54689.26953
3.921875,-54729.19141
3.9296875,-54762.82813
3.9375,-54777.42578
3.9453125,-54770.46484
3.953125,-54757.95313
3.9609375,-54766.55469
3.96875,-54818.11719
3.9765625,-54912.75391
3.984375,-55021.0625
3.9921875,-55095.98438
4,-55095.20313
4.0078125,-55005.3125
4.015625,-54848.61328
4.0234375,-54671.87109
4.03125,-54524.71094
4.0390625,-54437.58984
4.046875,-54412.30859
4.0546875,-54428.85156
4.0625,-54459.85547
4.0703125,-54486.19531
4.078125,-54502.49609
4.0859375,-54512.75781
4.09375,-54524.41406
4.1015625,-54539.81641
4.109375,-54556.98047
4.1171875,-54572.67188
4.125,-54585.18359
4.1328125,-54598.60156
4.140625,-54618.87109
4.1484375,-54652.03125
4.15625,-54702.08594
4.1640625,-54767.94922
4.171875,-54845.77344
4.1796875,-54927.13672
4.1875,-55000.58203
4.1953125,-55053.90625
4.203125,-55076.26563
4.2109375,-55062.87891
4.21875,-55016.79297
4.2265625,-54948.17188
4.234375,-54870.78516
4.2421875,-54796.25781
4.25,-54731.13672
4.2578125,-54676.80859
4.265625,-54631.58984
4.2734375,-54596.09766
4.28125,-54572.53125
4.2890625,-54565.11328
4.296875,-54576.96094
4.3046875,-54607.06641
4.3125,-54653.23828
4.3203125,-54711.51172
4.328125,-54779.36328
4.3359375,-54855.75
4.34375,-54937.34375
4.3515625,-55018.69531
4.359375,-55089.01563
4.3671875,-55135.48438
4.375,-55148.80469
4.3828125,-55127.99219
4.390625,-55086.69531
4.3984375,-55053.30469
4.40625,-55067.29297
4.4140625,-55170.05859
4.421875,-55391.65234
4.4296875,-55739.375
4.4375,-56191.45313
4.4453125,-56699.875
4.453125,-57204.41797
4.4609375,-57649.33594
4.46875,-58000.98047
4.4765625,-58255.30859
4.484375,-58433.53906
4.4921875,-58572.11719
4.5,-76966.11719
4.5078125,-78199.21875
4.515625,-79358.5
4.5234375,-80484.39844
4.53125,-81639.49219
4.5390625,-82866.66406
4.546875,-84146.51563
4.5546875,-85379.03906
4.5625,-86414.10156
4.5703125,-87115.59375
4.578125,-87425.70313
4.5859375,-87397.67188
4.59375,-87168.97656
4.6015625,-86897.76563
4.609375,-86696.60938
4.6171875,-86596.20313
4.625,-86558.875
4.6328125,-86520.75
4.640625,-86437.29688
4.6484375,-86304.75
4.65625,-86151.26563
4.6640625,-86012.44531
4.671875,-85907.60156
4.6796875,-85831.25
4.6875,-85764.25
4.6953125,-85686.20313
4.703125,-85588.80469
4.7109375,-85477.875
4.71875,-85365.42188
4.7265625,-85265.49219
4.734375,-85184.92188
4.7421875,-85123.80469
4.75,-85078.21094
4.7578125,-85041.11719
4.765625,-85005.9375
4.7734375,-84966.02344
4.78125,-84915.625
4.7890625,-84851.82031
4.796875,-84775.14844
4.8046875,-84692.40625
4.8125,-84614.58594
4.8203125,-84551.91406
4.828125,-84512.4375
